Position,Season,Tm,Team,Age,W,L,W/L%,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,opp_eFG%,opp_TOV%,opp_DRB%,opp_FT/FGA
1,2016-17,MLY,Minnesota Lynx,30.6,28,6,0.8235,28,6,8.82,-0.7,8.13,108.2,97.1,11.1,78.2,0.315,0.175,0.551,0.5,14.8,30.2,0.254,0.458,16.7,75.6,0.233
0,2016-17,LAS,Los Angeles Sparks,28.7,26,8,0.7647,26,8,7.09,-0.77,6.31,107.8,98.6,9.2,76.4,0.29,0.245,0.574,0.533,15.9,22.3,0.229,0.471,16.1,73.2,0.201
1,2017-18,SES,Seattle Storm,27.6,15,19,0.4412,17,17,0,-0.17,-0.17,105.8,105.8,0,77.2,0.292,0.314,0.574,0.53,16.5,20.8,0.236,0.491,14.8,71.1,0.207
0,2017-18,DAW,Dallas Wings,24.8,16,18,0.4706,13,21,-2.65,0.42,-2.23,105.4,108.7,-3.3,80.5,0.374,0.295,0.521,0.453,14.3,29.9,0.308,0.521,16,72.7,0.261
1,2018-19,WAM,Washington Mystics,27.9,22,12,0.6471,21,13,3.06,-0.1,2.99,110.7,106.6,4.1,76.3,0.26,0.344,0.558,0.51,13,25.5,0.223,0.496,14.9,72.7,0.223
0,2018-19,ATD,Atlanta Dream,27.4,23,11,0.6765,20,14,2.29,-0.42,1.88,102.9,100,2.9,79.5,0.31,0.263,0.514,0.468,13.5,26.8,0.231,0.468,15.2,72.7,0.203
0,2019-20,INF,Indiana Fever,26,13,21,0.3824,13,21,-2.71,0.04,-2.67,100.5,104,-3.5,76.7,0.254,0.244,0.508,0.464,14.4,26.5,0.202,0.473,13.7,72.7,0.205
0,2019-20,NYL,New York Liberty,26.5,10,24,0.2941,7,27,-7.32,0.52,-6.8,97.4,106.6,-9.2,79.5,0.246,0.282,0.504,0.461,16,25.6,0.193,0.491,13.8,73.2,0.242
1,2020-21,CSK,Chicago Sky,27.2,12,10,0.5455,13,9,2.64,-0.22,2.42,107.6,104.3,3.3,80.7,0.218,0.317,0.58,0.547,16.6,23.3,0.178,0.503,15,76.4,0.205
0,2020-21,PHM,Phoenix Mercury,28,13,9,0.5909,13,9,2,-0.17,1.83,106.8,104.3,2.5,80.2,0.314,0.366,0.564,0.513,15.5,22.2,0.259,0.477,14.2,73.1,0.233
1,2021-22,LVA,Las Vegas Aces,26.4,24,8,0.75,26,6,9.06,-0.62,8.44,109.1,98,11.1,80.8,0.312,0.192,0.559,0.508,12.6,21.3,0.255,0.464,12.5,80,0.165
0,2021-22,COS,Connecticut Sun,28.3,26,6,0.8125,28,4,9.81,-0.95,8.86,106.9,93.7,13.2,74,0.27,0.298,0.543,0.497,15.9,31.2,0.22,0.459,16.1,82.1,0.201
