Year,Champion,Runner Up
2022,Las Vegas Aces,Connecticut Sun
2021,Chicago Sky,Phoenix Mercury
2020,Seattle Storm,Las Vegas Aces
2019,Washington Mystics,Connecticut Sun
2018,Seattle Storm,Washington Mystics
2017,Minnesota Lynx,Los Angeles Sparks
2016,Los Angeles Sparks,Minnesota Lynx
2015,Minnesota Lynx,Indiana Fever
2014,Phoenix Mercury,Chicago Sky
2013,Minnesota Lynx,Atlanta Dream
2012,Indiana Fever,Minnesota Lynx
2011,Minnesota Lynx,Atlanta Dream
2010,Seattle Storm,Atlanta Dream
2009,Phoenix Mercury,Indiana Fever
2008,Detroit Shock,San Antonio Silver Stars
2007,Phoenix Mercury,Detroit Shock
2006,Detroit Shock,Sacramento Monarchs
2005,Sacramento Monarchs,Connecticut Sun
2004,Seattle Storm,Connecticut Sun
2003,Detroit Shock,Los Angeles Sparks
2002,Los Angeles Sparks,New York Liberty
2001,Los Angeles Sparks,Charlotte Sting
2000,Houston Comets,New York Liberty
1999,Houston Comets,New York Liberty
1998,Houston Comets,Phoenix Mercury
1997,Houston Comets,New York Liberty
