Position,Season,Tm,Team,Age,G,W,L,W/L%,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,opp_eFG%,opp_TOV%,opp_DRB%,opp_FT/FGA
0,2021-22,COS,Connecticut Sun,28.3,32,26,6,0.8125,28,4,9.81,-0.95,8.86,106.9,93.7,13.2,74,0.27,0.298,0.543,0.497,15.9,31.2,0.22,0.459,16.1,82.1,0.201
1,2021-22,LVA,Las Vegas Aces,26.4,32,24,8,0.75,26,6,9.06,-0.62,8.44,109.1,98,11.1,80.8,0.312,0.192,0.559,0.508,12.6,21.3,0.255,0.464,12.5,80,0.165
0,2021-22,SES,Seattle Storm,28.1,32,21,11,0.6563,22,10,4.44,-0.63,3.8,106.3,100.7,5.6,78.2,0.246,0.328,0.556,0.512,13.9,20.9,0.206,0.483,14.4,78.6,0.18
0,2021-22,MLY,Minnesota Lynx,27.6,32,22,10,0.6875,21,11,4,-0.37,3.63,104.2,99.1,5.1,78.7,0.26,0.296,0.553,0.508,15.8,22.3,0.218,0.476,14.6,79.7,0.194
0,2021-22,PHM,Phoenix Mercury,28.4,32,19,13,0.5938,19,13,2.56,-0.12,2.45,106.5,103.2,3.3,76.4,0.295,0.332,0.553,0.507,14.7,23.8,0.235,0.466,11.3,75.1,0.167
0,2021-22,CSK,Chicago Sky,28.4,32,16,16,0.5,18,14,1.31,-0.22,1.1,102.9,101.3,1.6,79.6,0.243,0.304,0.538,0.493,15.1,23.8,0.205,0.48,15.9,73.9,0.212
0,2021-22,DAW,Dallas Wings,24.8,32,14,18,0.4375,15,17,-0.53,0.3,-0.23,104.3,105,-0.7,77.2,0.233,0.327,0.521,0.477,14.1,27.8,0.193,0.505,14.1,77.6,0.206
0,2021-22,WAM,Washington Mystics,28.7,32,12,20,0.375,11,21,-3.84,0.26,-3.58,101.5,106.4,-4.9,78.3,0.251,0.396,0.519,0.475,13.7,21.9,0.203,0.52,15.3,76.4,0.208
0,2021-22,LAS,Los Angeles Sparks,27.5,32,12,20,0.375,10,22,-4.34,0.55,-3.79,93.7,99.3,-5.6,77.1,0.237,0.306,0.501,0.462,15.4,17.4,0.181,0.476,19.2,71.4,0.267
0,2021-22,ATD,Atlanta Dream,27.4,32,8,24,0.25,9,23,-5.63,0.24,-5.38,99.3,106.4,-7.1,78.6,0.214,0.269,0.489,0.459,12.1,24.6,0.154,0.52,16.8,73.7,0.234
0,2021-22,NYL,New York Liberty,25.7,32,12,20,0.375,7,25,-7.03,0.71,-6.32,97,105.7,-8.7,80.6,0.222,0.42,0.541,0.504,18.2,18.4,0.181,0.488,13.2,75.2,0.203
0,2021-22,INF,Indiana Fever,27.3,32,6,26,0.1875,5,27,-9.81,0.85,-8.97,97.4,110.1,-12.7,77.3,0.249,0.253,0.498,0.453,15.4,27.4,0.199,0.517,13.6,75.6,0.222
