index,Position,Season,Tm,G,W,L,Win_pct,MOV,SOS,SRS,ORtg,DRtg,Pace,TS_pct,eFG_pct,TOV_pct,ORB_pct,FT_FGA,Opp_eFG_pct,Opp_TOV_pct,opp_DRB%,Opp_FT_FGA
0,1,1997-98,HOC,28,18,10,0.6429,6.32,-0.79,5.53,99.4,90.7,71.6,0.523,0.473,20.4,36.2,0.266,0.444,22.3,64.7,0.236
1,0,1997-98,PHM,28,16,12,0.5714,4,-0.48,3.38,91.4,86.1,74.7,0.473,0.411,18.8,33.2,0.274,0.441,24.2,68.5,0.245
2,0,1997-98,NYL,28,17,11,0.6071,2.39,-0.32,2.22,90.6,87.4,74.3,0.482,0.439,21.3,34.6,0.236,0.422,22.7,64.7,0.246
3,0,1997-98,LAS,28,14,14,0.5,2.21,-0.23,1.63,93.9,91.1,77.1,0.504,0.464,20.4,32.7,0.235,0.423,19.4,67.9,0.263
4,0,1997-98,CLR,28,15,13,0.5357,1.79,-0.22,1.56,94.4,92,73.3,0.515,0.464,21.6,32.2,0.276,0.449,20.2,67.1,0.219
5,0,1997-98,CHS,28,15,13,0.5357,1.29,-0.16,1.13,92.9,91.1,72.5,0.505,0.469,21,31.8,0.204,0.436,19.4,68.8,0.21
6,0,1997-98,SAM,28,10,18,0.3571,-7.5,0.89,-6.25,90.4,100.4,74.5,0.483,0.436,22.2,36.7,0.227,0.477,20.1,61.9,0.262
7,0,1997-98,UTS,28,7,21,0.25,-10.5,1.31,-9.19,85.4,99.2,75,0.449,0.404,20.5,33.3,0.208,0.461,18.1,65.1,0.241
8,1,1998-99,HOC,30,27,3,0.9,12.57,-1.29,11.41,105.7,88.2,71.2,0.542,0.484,17.1,32,0.284,0.435,21.8,66,0.189
9,0,1998-99,PHM,30,19,11,0.6333,6.4,-0.63,5.77,99.4,90.8,73.4,0.511,0.459,18.2,33.7,0.276,0.456,22.4,67.3,0.247
10,0,1998-99,NYL,30,18,12,0.6,3.07,-0.39,2.68,95.2,90.9,71.5,0.499,0.451,19.6,34,0.252,0.449,21.5,69.6,0.263
11,0,1998-99,CHS,30,18,12,0.6,3.07,-0.73,2.34,96.7,92.6,73.8,0.503,0.458,17.7,31.4,0.238,0.445,19.2,68.9,0.201
