Position,Season,Tm,Team,Age,W,L,W/L%,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,1997-98,HOC,Houston Comets,28.8,18,10,0.6429,22,6,6.32,-0.79,5.53,99.4,90.7,8.7,71.6,0.357,0.292,0.523,0.473,20.4,36.2,0.266,0.444,22.3,64.7,0.236
0,1997-98,PHM,Phoenix Mercury,27.9,16,12,0.5714,20,8,4,-0.48,3.38,91.4,86.1,5.3,74.7,0.359,0.247,0.473,0.411,18.8,33.2,0.274,0.441,24.2,68.5,0.245
0,1997-98,NYL,New York Liberty,27.5,17,11,0.6071,17,11,2.39,-0.32,2.22,90.6,87.4,3.2,74.3,0.354,0.198,0.482,0.439,21.3,34.6,0.236,0.422,22.7,64.7,0.246
0,1997-98,LAS,Los Angeles Sparks,25.5,14,14,0.5000,17,11,2.21,-0.23,1.63,93.9,91.1,2.8,77.1,0.348,0.136,0.504,0.464,20.4,32.7,0.235,0.423,19.4,67.9,0.263
0,1997-98,CLR,Cleveland Rockers,28.1,15,13,0.5357,16,12,1.79,-0.22,1.56,94.4,92,2.4,73.3,0.382,0.108,0.515,0.464,21.6,32.2,0.276,0.449,20.2,67.1,0.219
0,1997-98,CHS,Charlotte Sting,27,15,13,0.5357,16,12,1.29,-0.16,1.13,92.9,91.1,1.8,72.5,0.295,0.194,0.505,0.469,21,31.8,0.204,0.436,19.4,68.8,0.21
0,1997-98,SAM,Sacramento Monarchs,27.7,10,18,0.3571,5,23,-7.5,0.89,-6.25,90.4,100.4,-10,74.5,0.309,0.199,0.483,0.436,22.2,36.7,0.227,0.477,20.1,61.9,0.262
0,1997-98,UTS,Utah Starzz,24.9,7,21,0.2500,3,25,-10.5,1.31,-9.19,85.4,99.2,-13.8,75,0.296,0.196,0.449,0.404,20.5,33.3,0.208,0.461,18.1,65.1,0.241
1,1998-99,HOC,Houston Comets,29,27,3,0.9000,28,2,12.57,-1.29,11.41,105.7,88.2,17.5,71.2,0.354,0.287,0.542,0.484,17.1,32,0.284,0.435,21.8,66,0.189
0,1998-99,PHM,Phoenix Mercury,27.5,19,11,0.6333,23,7,6.4,-0.63,5.77,99.4,90.8,8.6,73.4,0.382,0.218,0.511,0.459,18.2,33.7,0.276,0.456,22.4,67.3,0.247
0,1998-99,NYL,New York Liberty,28.3,18,12,0.6000,20,10,3.07,-0.39,2.68,95.2,90.9,4.3,71.5,0.353,0.158,0.499,0.451,19.6,34,0.252,0.449,21.5,69.6,0.263
0,1998-99,CHS,Charlotte Sting,26.3,18,12,0.6000,19,11,3.07,-0.73,2.34,96.7,92.6,4.1,73.8,0.336,0.203,0.503,0.458,17.7,31.4,0.238,0.445,19.2,68.9,0.201
0,1998-99,CLR,Cleveland Rockers,28,20,10,0.6667,19,11,2.9,-0.51,2.26,98.1,94.2,3.9,73.7,0.367,0.162,0.55,0.499,20.9,27.6,0.281,0.458,20.6,66.5,0.234
0,1998-99,DSH,Detroit Shock,28,17,13,0.5667,15,15,0.3,-0.57,-0.27,93.9,93.5,0.4,74.1,0.34,0.16,0.484,0.437,18.5,34.1,0.239,0.441,17.3,72.2,0.23
0,1998-99,LAS,Los Angeles Sparks,26.7,12,18,0.4000,14,16,-0.7,0.21,-0.49,94.9,95.8,-0.9,75.2,0.318,0.175,0.492,0.445,19,33.7,0.231,0.442,17.9,67,0.258
0,1998-99,SAM,Sacramento Monarchs,25.1,8,22,0.2667,7,23,-5.53,1.25,-4.29,88.4,96,-7.6,72,0.311,0.154,0.468,0.427,20.6,33.5,0.209,0.449,19.6,66.8,0.291
0,1998-99,UTS,Utah Starzz,25.3,8,22,0.2667,7,23,-6.7,0.9,-5.8,92.1,100.9,-8.8,75.2,0.331,0.188,0.497,0.454,20.5,30.6,0.232,0.463,16.4,67.5,0.255
0,1998-99,WAM,Washington Mystics,25,3,27,0.1000,1,29,-15.37,1.74,-13.63,84.1,104,-19.9,77.1,0.34,0.237,0.467,0.427,23,31.3,0.22,0.498,18.8,65,0.295
1,1999-00,HOC,Houston Comets,29.7,26,6,0.8125,28,4,9.28,-0.15,9.13,105.8,92.5,13.3,69.7,0.325,0.286,0.541,0.486,17.1,32.8,0.266,0.422,18.2,66.1,0.214
0,1999-00,SAM,Sacramento Monarchs,26.3,19,13,0.5938,22,10,4.19,0.42,4.6,99.9,94.3,5.6,74.8,0.422,0.21,0.503,0.455,17.6,38.3,0.283,0.459,20.3,69.3,0.222
0,1999-00,LAS,Los Angeles Sparks,24.7,20,12,0.6250,22,10,4.09,0.43,4.52,102.7,97.2,5.5,73.7,0.331,0.233,0.523,0.475,17.1,32.9,0.248,0.447,17.6,68.4,0.268
0,1999-00,NYL,New York Liberty,29.2,18,14,0.5625,20,12,2.5,-1.16,1.34,97.1,93.6,3.5,68.4,0.276,0.247,0.505,0.464,18.3,31.9,0.206,0.443,21.2,67.6,0.309
0,1999-00,PHM,Phoenix Mercury,29.2,15,17,0.4688,16,16,-0.16,0.9,0.74,97.2,97.5,-0.3,70,0.364,0.239,0.491,0.434,17.2,33.6,0.272,0.447,17.9,66.4,0.249
0,1999-00,ORM,Orlando Miracle,25.8,15,17,0.4688,15,17,-0.31,-0.85,-1.16,97.1,97.5,-0.4,70.4,0.36,0.247,0.51,0.466,19.4,33.1,0.249,0.472,19.8,65.2,0.228
0,1999-00,CHS,Charlotte Sting,28.2,15,17,0.4688,14,18,-1.19,-0.75,-1.94,96.6,98.3,-1.7,67.8,0.296,0.204,0.516,0.469,18.7,30,0.227,0.459,17,68.3,0.197
0,1999-00,DSH,Detroit Shock,27.1,15,17,0.4688,13,19,-2,-0.66,-2.66,93.9,96.6,-2.7,73.3,0.387,0.17,0.485,0.432,17.3,29.4,0.272,0.467,19.3,69.7,0.278
0,1999-00,MLY,Minnesota Lynx,27.1,15,17,0.4688,12,20,-2.38,1.15,-1.23,93.7,97.2,-3.5,67.1,0.244,0.313,0.477,0.441,17,28.9,0.176,0.464,19.4,67.3,0.27
0,1999-00,UTS,Utah Starzz,28,15,17,0.4688,11,21,-3.13,1.23,-1.9,98.8,103,-4.2,73.7,0.381,0.186,0.52,0.461,19.7,34.2,0.292,0.483,17.2,69.7,0.289
0,1999-00,WAM,Washington Mystics,24.9,12,20,0.3750,9,23,-4.56,-0.38,-4.94,92.6,99,-6.4,70.1,0.378,0.192,0.502,0.451,21.5,32.9,0.269,0.447,16.1,66.1,0.236
0,1999-00,CLR,Cleveland Rockers,27.2,7,25,0.2188,7,25,-6.34,-0.18,-6.52,88.7,97.7,-9,70.9,0.294,0.167,0.481,0.437,20.7,30.1,0.213,0.46,17.8,67.3,0.224
1,2000-01,HOC,Houston Comets,29.6,27,5,0.8438,30,2,12.78,-0.04,12.74,109.4,91.3,18.1,69.9,0.335,0.259,0.569,0.516,16.8,30.8,0.275,0.438,18.2,71.4,0.191
0,2000-01,LAS,Los Angeles Sparks,24.6,28,4,0.8750,26,6,7.75,0.5,8.25,102.7,92.2,10.5,73,0.354,0.231,0.535,0.479,17.1,31.2,0.279,0.426,17.6,72.3,0.252
0,2000-01,SAM,Sacramento Monarchs,27.2,21,11,0.6563,24,8,5.22,0.59,5.81,103.6,96.2,7.4,70.7,0.326,0.23,0.514,0.475,16.7,38.1,0.225,0.46,19.5,67,0.214
0,2000-01,PHM,Phoenix Mercury,28.3,20,12,0.6250,23,9,4.41,0.86,5.33,102.8,96.3,6.5,67.9,0.367,0.219,0.536,0.481,17,30.2,0.285,0.46,20.3,65,0.23
0,2000-01,NYL,New York Liberty,28.2,20,12,0.6250,22,10,3.53,-0.8,2.73,99.1,93.9,5.2,67.5,0.312,0.218,0.52,0.474,18.7,30.8,0.236,0.439,18.7,67.1,0.24
0,2000-01,CLR,Cleveland Rockers,26,17,15,0.5313,19,13,1.97,-1.2,0.77,98.9,96.1,2.8,68,0.312,0.223,0.526,0.481,20.6,35.7,0.233,0.473,21.5,68.5,0.258
0,2000-01,UTS,Utah Starzz,27,18,14,0.5625,16,16,0.19,0.98,1.17,103.1,102.8,0.3,73.2,0.417,0.138,0.538,0.476,19.5,36.8,0.321,0.478,16.1,70,0.27
0,2000-01,MLY,Minnesota Lynx,24.2,15,17,0.4688,16,16,0.16,1.03,1.18,97.8,97.6,0.2,69.8,0.323,0.312,0.524,0.476,19.2,27.6,0.245,0.476,20.9,67.1,0.292
0,2000-01,ORM,Orlando Miracle,26.1,16,16,0.5000,15,17,-0.78,-0.95,-1.73,98.8,99.9,-1.1,68.7,0.286,0.222,0.513,0.474,18.4,32.3,0.208,0.472,18.6,63.5,0.192
0,2000-01,WAM,Washington Mystics,26.3,14,18,0.4375,14,18,-1.41,-0.36,-1.77,98.7,100.7,-2,68.9,0.319,0.185,0.526,0.489,19.7,32.9,0.222,0.49,17.7,68.4,0.204
0,2000-01,INF,Indiana Fever,24.8,9,23,0.2813,12,20,-2.41,-1.25,-3.66,98.7,102.1,-3.4,69.7,0.31,0.283,0.53,0.486,19.9,31,0.233,0.478,18,66.8,0.269
0,2000-01,DSH,Detroit Shock,25.7,14,18,0.4375,12,20,-2.97,-0.85,-3.88,97.9,101.9,-4,74.1,0.353,0.138,0.509,0.458,18.8,34.8,0.262,0.495,19.4,66.1,0.244
0,2000-01,POF,Portland Fire,25.4,10,22,0.3125,9,23,-4.63,1.13,-3.49,92.8,99.2,-6.4,71.2,0.381,0.237,0.505,0.456,21.7,32.4,0.267,0.467,19.6,67.1,0.312
0,2000-01,MIS,Miami Sol,26.6,13,19,0.4063,7,25,-5.31,-1.12,-6.43,86,94,-8,65.7,0.374,0.175,0.443,0.389,20.2,36,0.255,0.462,21.3,68.4,0.271
0,2000-01,CHS,Charlotte Sting,27.5,8,24,0.2500,6,26,-7.59,-0.3,-7.9,96.7,107.4,-10.7,69.8,0.303,0.203,0.507,0.461,18.7,31.5,0.226,0.491,15.9,65.9,0.276
0,2000-01,SES,Seattle Storm,26.5,6,26,0.1875,3,29,-10.91,1.79,-9.12,83.8,99.9,-16.1,67.2,0.322,0.209,0.459,0.415,20.9,26.2,0.218,0.486,20.8,65.1,0.289
1,2001-02,LAS,Los Angeles Sparks,26.1,28,4,0.8750,27,5,8.59,-0.39,8.21,106.7,94.7,12,70.7,0.292,0.215,0.532,0.49,16,35.8,0.221,0.441,16.9,72,0.21
0,2001-02,CLR,Cleveland Rockers,25.1,22,10,0.6875,27,5,6.75,-0.72,6.03,97.3,86.9,10.4,64.1,0.285,0.189,0.503,0.461,18.2,33.3,0.21,0.418,20.4,69,0.188
